Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,195.453,-60.4012,90,top
C2,0.1uF,C_0402_1005Metric,196.4436,-61.3156,90,top
C3,0.1uF,C_0402_1005Metric,198.501,-62.8142,0,top
C4,0.1uF,C_0402_1005Metric,198.501,-63.8048,0,top
C5,0.1uF,C_0402_1005Metric,198.374,-65.2272,90,top
C6,0.1uF,C_0402_1005Metric,199.644,-69.723,0,top
C7,0.1uF,C_0402_1005Metric,195.5292,-75.3618,-90,top
C8,0.1uF,C_0402_1005Metric,187.3504,-69.723,180,top
C9,0.1uF,C_0402_1005Metric,189.0014,-64.5414,180,top
C10,1uF,C_0402_1005Metric,196.4436,-63.1952,90,top
C11,0.1uF,C_0402_1005Metric,196.5198,-75.3592,-90,top
C12,0.1uF,C_0402_1005Metric,198.501,-61.8236,0,top
C13,10uF,C_0603_1608Metric,189.6618,-51.562,180,top
C14,10uF,C_0603_1608Metric,190.4238,-56.9976,180,top
C15,33pF,C_0402_1005Metric,190.2636,-77.2524,-90,top
C16,33pF,C_0402_1005Metric,195.5214,-77.2414,90,top
C17,0.1uF,C_0402_1005Metric,191.3738,-59.8932,180,top
C18,0.1uF,C_0402_1005Metric,189.3,-89.08,-90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,193.5,-45.5,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,184.61,-44.37,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,202.39,-44.37,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,190.96,-92.39,90,top
LED1,SK6812MINI-E,LED_6028R,193.825,-87.95,0,top
R1,5.1K,R_0402_1005Metric,194.7418,-51.7652,-90,top
R2,5.1K,R_0402_1005Metric,191.7446,-51.7652,-90,top
R3,27,R_0402_1005Metric,194.43,-63.17,-90,top
R4,27,R_0402_1005Metric,195.44,-63.16,-90,top
R5,1K,R_0402_1005Metric,194.0482,-74.1054,180,top
R6,1K,R_0402_1005Metric,194.7418,-55.3954,-90,top
R7,10K,R_0402_1005Metric,189.4738,-59.8932,180,top
R8,330,R_0402_1005Metric,189.3,-86.69,-90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,196.977,-53.5858,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,193.73,-68.49,0,top
U2,MCP1700x-330xxTT,SOT-23,190.4238,-54.2775,90,top
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,190.4238,-61.6779,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,192.8876,-76.4032,180,top